"row.names","subject","question","correct_response","response","score"
"2315","38","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"if the inverse of the # can bring you back to 0",0
"2382","39","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"unsure how to explain",0
"2449","40","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know",0
"2507","41","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"The number mus t not be  one that (n) is divisible by, otherwise it will just go in a loop around certain points.",0
"2565","42","Is there a pattern to which eleme nts are  generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"um im not even sure what this is talking about now",0
"2632","43","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"You keep on adding the elements to see if you can make every number 1 through n",0
"2671","44","Practice: What is 5 +<sub>9</sub> 5?","1","1
",0
"2690","44","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"A number which can add to itself and equal numbers less than +_n can be a generator.",0
"2748","45","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"The odd numbers are generators ",0
"2782","46","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 4? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hex agon, th en move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","2","2
",0
"2784","46","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","1","1
",0
"2787","46","What is 3 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around  the hex agon. The number the arrow arrives at is your result.)","0","0
",0
"2825","46","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"odd numbers",0
"2883","47","Is there a pattern to which e lements  are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"because its basically the same everytime",0
"2950","48","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I frankly have no idea to calculate this without trying each number out. I do recall that the generators I figured out ea rlier se emed to be odd numbers such as 1 and 5 so that may be part of the pattern.  ",0
"2981","49","What is 1 +<sub>6</sub> 5? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the s econd on e to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","0","0
",0
"3017","49","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I honestly have no idea if there's a pattern. My gut response is that there is, but I really couldn't tell you for sure. I don't think I understand the generator concept at all. If I had to guess, I'd say it depends on what the +n number is, and what your pre-modifier total is (odd vs even)",0
"3075","50","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I do not understand the generator concept. ",0
"3133","51","Is there a pattern t o which  elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I only can think of a couple definite cases.  1 will always be a generator, and if n is odd, 2 will always be a generator. I believe finding any number that n is not evenly divisible by will also result in a generator, i.e. 9 is not evenly divisible by 5 so 5 is a generator.",0
"3191","52","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"my first thought is something to do with n/x... perhaps if n/x = a whole number, it is not a generator, for exa mple if  n=9 and x=3, n/x = 3, and in that case, 3 is not a generator because it can only land on 3 different possibilities.

that would mean 6 is also not a generator, because it is a multiple of 3 and would result in the same type of pattern

i honestly don't know where to go from there. ",0
"3249","53","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"Yes, the numbers are usually odd numbers such as 1, 3, 5...",0
"3307","54","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"1 is a generator in all (n) values.  If (n) is an odd number then even numbers will be gene rators.   If (n) is an even number then odd numbers will be generators.",0
"3365","55","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If x and n share a common factor other than 1 then x is not a generator.",0
"3432","56","Is there a pattern to which elements are generators? How can  you kno w if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If (n) is even, all odd numbers are generators. If (n) is odd, all even numbers are generators.",0
"3461","57","Now try one on your own! What is 4 +<sub>6</sub> 5? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","3","4+5=9. 
9-6=3
+6 =3",0
"3509","57","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"Can't say",0
"3567","58","Is there a pattern to which elements are g enerator s? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Well, 1 will always be a generator. Even numbers can never be generators. I think that every odd number is a generator, so long as it the number n which represents the polygon is not a multiple of the odd number.",0
"3634","59","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If x is divisible by the number of sides in the polygon, it is not a generator. ",0
"3701","60","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"if you know what the number that you are starting with and your ending number you might be able to figure it out. ",0
"3768","61","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"If you take the factors of n available in the subset, for example if n = 6 then then 2 and 3 would be the factors, and if a factor can be double and be in the subset it will also not be a generator.  So in +6, 1 and 5 will be generators, but 2 and 3 will not because they are factors of 6, and 4 will not be a generator because it is 2+2 and is still within the subset of numbers. ",0
"3826","62","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If you divide the number of sides in (n) with the element x and get a remainder of one, I think you can safely assume that the element x is a generator. This is, of course, with the exception of the number one which will likely always be a generator so long as the number of (n)'s sides is always a whole number.",0
"3893","63","Is there a pattern to which elements are generators? How can yo u know i f an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I dont think there is a pattern because you would have to count depending on how many sides there are.",0
"3951","64","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I assume there is a pattern, but the task is difficult.",0
"4009","65","Is there a pattern to which elements are generators? How can you know if a n elemen t x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"depnds on many numbers there are in the polygon",0
"4076","66","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all  the ele ments?.",,"For all numbers from 0 to (n-1), the function +_n cannot yield the same number twice by continuing to add successive x's under the function until all numbers from 0 to (n-1) have been generated.  If it does yield the same number, x will be a generator.",0
"4134","67","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I am not sure of the answer to this.",0
"4192","68","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Yes, even or odd are generators, depending upon the element of the system. Even are generators with odd systems, and vice versa.",0
"4212","69","Now try one on your own! What is 4 +<sub>6</sub> 5? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","3","15",0
"4213","69","What is 3 +<sub>6</sub> 2? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","5","-1",0
"4226","69","What is 0 +<sub>6</sub> 2? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","2","2
",0
"4250","69","What is the inverse of 5 under +<sub>9</sub>?","4","4.",1
"4260","69","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I see no pattern.",0
"4318","70","Is there a pat tern to  which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"don't know",0
"4385","71","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't see a pattern. The only way of finding a generator is by exhaustively testing elements, I assume. ",0
"4443","72","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"i am not honestly sure",0
"4454","72","Please answer the following question:<br /><br />What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0","im not totally sure",0
"4502","73","What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0"," 0",1
"4510","73","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"From earlier practice, it seems that the generators are odd numbers. You can count the proper spacing between numbers. Which is two to get to the next number. ",0
"4568","74","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I have no idea to be honest",0
"4626","75","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"If n is an odd number, then all elements will be a generator.  If n is an even number, then odd number elements will be generators.",0
"4684","76","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"It seems all numbers are capable except multiples of threes.",0
"4751","77","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure - I need to work more on understanding this. ",0
"4809","78","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I'm not sure to be honest",0
"4867","79","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't honestly know. ",0
"4934","80","Is there a pattern to which elements are generators? How can you know if an element x is a gen erator u nder +<sub>n</sub> without seeing whether it can make all the elements?.",,"I think there is a system but after thinking about it for a while I'm not completely sure I'm right or how to word my answer. In the case of +9 it couldn't be 3 or 6 so in other words, numbers that could be multiplied to get 9. I think this pattern might hold true for other numbers as well. ",0
"4982","81","What is the inverse of 5 under +<sub>9</sub>?","4","4 because 4+5 = 0",1
"4983","81","What is the inverse of 2 under +<sub>9</sub>?","7","7 because 2+7 = 0",1
"4984","81","What is the inverse of 0 under +<sub>9</sub>?","0","0 because 0+0=0",1
"4992","81","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"it cannot have any common factors with n",0
"5050","82","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I feel like the definition of generator needs to be more defined or have more detailed explanations of limits. I used the logic given to me by the prompt to determine that any number can be a generator.",0
"5108","83","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I'm not sure, I never noticed a pattern.",0
"5185","84","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know",0
"5243","85","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I think that you can figure out of a number is a generator if there are other combinations that will arrive at the same location.",0
"5311","86","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"You can see by moving it number to number and counting. yes there is a pattern according to the amount of numbers",0
"5335","87","What is 3 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 0? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points cloc kwise ar ound the hexagon. The number the arrow arrives at is your result.)","3","3
",0
"5369","87","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"You can move the wheel and try all possibilities but I'm still unclear about this concept.",0
"5408","88","Practice: What is 5 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 5?","1","1
",0
"5427","88","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I have no idea",0
"5494","89","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",," If it's a prime number les s than n , then it's a generator
",0
"5561","90","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"O is always the n",0
"5618","91","What is the inverse of 5 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","4","no idea",0
"5619","91","What is the inverse of 2 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","7","no clue",0
"5620","91","What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0","no clue",0
"5628","91","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"no clue",0
"5637","91","Please answer the following question:<br /><br />What is the inverse of 4 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","5","no clue",0
"5639","91","Please answer the following question:<br /><br />What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0","no clue",0
"5695","92","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Even numbers will be generators for even numbered polygons. Odd numbers will be generators for odd numbered polygons.",0
"5708","92","Please answer the following question:<br /><br />Is 4 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","Yes"," Yes",1
"5762","93","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If you get the starting number before generating all numbers then it is not a generator.",0
"5819","94","What is the inverse of 5 under +<sub>9</sub>?","4","The inverse should provide the identity, which has previously been defined as 0. So We have to add a number to 5 that equals 9, so that when 9 is subtracted, the answer is 0. That number is 4, because 5 + 4 = 9, and 9 - 9 = 0.",1
"5820","94","What is the inverse of 2 under +<sub>9</sub>?","7","Like the last question, we are trying to arrive at 0, which is the identity. So we need to find the number that when added to 2 equals 9. The inverse of 2 is 7, because 2 + 7 = 9, and 9 - 9 = 0.",1
"5821","94","What is the inverse of 0 under +<sub>9</sub>?","0","The inverse of 0 is 9. We must total 9 to begin with, and 0 + 9 = 9, which means we must subtract 9, and 9 - 9 = 0, which is the identity.",0
"5829","94","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"Generators must be able to combine in a manner such that they can add with another number within the set parameters to be equal to the initially determined number (+6; +9). ",0
