row.names,subject,question,correct_response,response,score,trial_index
1729,30,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Pl ease exp lain in words how you got your answer.,,"You start at the 8 because it is the left number, you know there are nine points because of the 9 inside the nonagon and you move 4 points because 4 is the number on the right. So the answer is 3 after you move the 4 spaces. ",1,54
1786,31,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, because 4+1=5 and 5 is less than 9",1,53
1787,31,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, because 8+4 is 12, and 12 is more than 9, so 12 - 9 is 3. I double checked the answer using  the nona gon.",1,54
1844,32,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in wor ds how y ou got your answer.,,5 - I move the arrow one spot clockwise to get to 5.,1,53
1845,32,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 - Once again I move the arrow clockwise 4 spots to reach 3.,1,54
1902,33,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5, because it isn't over nine so you do not subtract nine.",1,53
1903,33,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"12-9 is 3, because you add the 8 and 4, then because it is more than nine, you subtract nine.",1,54
1960,34,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5. Because moving one clockwise to four is  five. A lso, four plus one is five, and since it's not above nine, we don't have to subtract nine from it.",1,53
1961,34,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3. Because four spaces clockwise of eight is three. Also, eight plus three is twelve. Since it's above nine, we subtract nine from it which equals there.",1,54
2018,35,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,It's 5 because you add 4 and 1 and since it's less than 9 it stays 5,1,53
2019,35,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,8 plus 4 is 12 and so you subtract 9 to get 3,1,54
2076,36,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 because 5 is one point clockwise to 4,1,53
2077,36,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 because 3 is 4 points clockwise from 8,1,54
2134,37,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, one clockwise from 4",1,53
2135,37,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"8, 3 clockwise from 8",1,54
2192,38,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, because if you start at 4 and click one space you get 5.",1,53
2193,38,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, because if you start at 8 and click 4 spaces you get 3.",1,54
2250,39,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,It is less than 9 so I keep the 5,1,53
2251,39,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,It is more than 9 so I subtract 9 from 12,1,54
2308,40,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
2309,40,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
2366,41,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 - I moved one point clockwise,1,53
2367,41,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 - I moved 4 points clockwise,1,54
2424,42,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. I got my answer by moving the hexagon clockwise by 1.,1,53
2425,42,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. I moved the hexagon clockwise 4 steps.,1,54
2482,43,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height :14px>  1? Please explain in words how you got your answer.,,"5  start with pointer on 4, then move one dot clockwise",1,53
2483,43,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3  Start pointer on 8 on move 4 dots clockwise,1,54
2540,44,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 because 4+1=5 and that is less than 9 so there is no need to subtract anything.,1,53
2541,44,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 because starting on 8 and moving clockwise 4 spaces will land on 3.,1,54
2598,45,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, You find the number 4 on the image and then take it up one spot to get to 5.",1,53
2599,45,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,4,0,54
2656,46,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. I went to the left by one number on the shape.,1,53
2657,46,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. I went clockwise 4 times.,1,54
2714,47,What is 4 +<sub>9</su b> 1? Pl ease explain in words how you got your answer.,,"5. If x + y < 9, x + y; else x + y - 9.",1,53
2715,47,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3. 8 + 4 > 9 -> 12 - 9.,1,54
2772,48,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,8 because 8 + 1 = 9,0,53
2773,48,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,5 because 4+ 5 = 9,0,54
2830,49,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,moving the arrow from 4 with 1 equals 5,1,53
2831,49,What is 8 <img src=./images/nonagon_sym bol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,the arrow was at 8. I moved the arrow 4 points. The answer is 3 ,1,54
2888,50,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"It is 5 because I started at 4, and then one notch cloc kwise to  stop at 5.",1,53
2889,50,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,It is 3. I started at 8 and then went 4 notches clockwise to reach 3.,1,54
2946,51,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5 added 4 to 1 getting 5, 5 is less then 9 so it is the answer",1,53
2947,51,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
3004,52,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"moving the arrow at 4, then moving the arrow 1 points is 5 ",1,53
3005,52,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,moving the arrow at 8 and then moving the arrow with 4 points is  3 ,1,54
3062,53,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 becasue I started at 4 and moved 1 segment forward clockwise.,1,53
3063,53,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 because I started at 8 and moved forward 4 segments clockwise,1,54
3120,54,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,move to the right once so you get 5,1,53
3121,54,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,move clockwise 4 times from 8 and you get 3,1,54
3178,55,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,4+1=5. 5<9 so the result is 9,1,53
3179,55,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"8+4=12, 12>9 so 12-9=3",1,54
3236,56,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5. The two numbers are added together and since the result is not 9 or greater we do not subtract 9. ,1,53
3237,56,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3. The result of adding 8 + 4 is 12. Since 12 is greater than 9, we subtract 9 from 12 to get 3. ",1,54
3294,57,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. I calculated the result of (4 + 1) mod 9.,1,53
3295,57,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in  words h ow you got your answer.,,3,1,54
3352,58,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5. I pointed the arrow at 4, then moved the arrow 1 point clockwise. ",1,53
3353,58,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3. I pointed the arrow at 8, then moved the arrow 4 points. ",1,54
3410,59,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, because moving clockwise one from four gets you to five",1,53
3411,59,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, because counting four from eight gets to 3",1,54
3478,60,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5 because 4+1 is less than 9.,1,73
3479,60,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3 because 12-9=3,1,74
3536,61,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5. Since the total is less than 9, 9 will not be subtracted. ",1,53
3537,61,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3. Since the total is greater than 9, we must subtract 9 from the total. ",1,54
3594,62,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,1 plus 4 steps clockwise brings it to 5,1,53
3595,62,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,going 8 steps clockwise from brings it to 3,1,54
3652,63,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5,1,53
3653,63,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3. 8+4 is 12. 12-9 is 3,1,54
3710,64,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
3711,64,What is 8 <img src=./images/nonagon_symbol.png style=wid th:14px; height:14px> 4? Please explain in words how you got your answer.,,3- i added 8+4=12 then subtracted 9=3,1,54
3768,65,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5I moved 1 over clockwise to get my answer.,1,53
3769,65,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3. I moved 4 over clockwise to get my answer.
",1,54
3826,66,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5 because 5 is under 9,1,53
3827,66,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3 because 12-9 is 3,1,54
3884,67,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,4 + 1 = 5 (which is correct because it's less than 9),1,53
3885,67,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,8 + 4 = 12 . 12 - 9  = 3. 3 is correct because it's less than 9.,1,54
3952,68,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 because 4 plus 1 is 5 and it isnt greater than 9 so that is the answer,1,73
3953,68,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 - because 8+4 is 12 and then you subtract 9,1,74
4010,69,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 because of the generator and going clockwise once.,1,53
4011,69,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how  you got  your answer.,,3 because of the generator and going clockwise 4 times.,1,54
4068,70,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,Moved the arrow to 4 and moved one space clockwise to get five,1,53
4069,70,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
4126,71,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please expla in in wo rds how you got your answer.,,5. Started at 4 and went clockwise 1 position. ,1,53
4127,71,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. Started at 8 and went clockwise 4 positions.,1,54
4184,72,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,4+1 equals 5 which is less than 9 so no change needed,1,53
4185,72,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,8+4 =12 so I need to subtract 9 which equals 3,1,54
4242,73,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5,four plus one is five and it's not above nine so it's fine",1,53
4243,73,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3,eight plus four is twelve but it's above nine so you subtract nine from it",1,54
4300,74,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"I added 4+1 to get 5 and since 5 is less than 9, I don't need to subtract 9.",1,53
4301,74,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3. I added 8+4 to get 12 and then subtracted 9 to get 3.,1,54
4358,75,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5...go one number clockwise from 4...boom 5,1,53
4359,75,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3...4 numbers clockwise from 8,1,54
4416,76,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. You make 1 move clockwise from 4 on the nanogon.,1,53
4417,76,What is 8 <img src=./images/nonagon_symbol.png style=width:1 4px;height:14px> 4? Please explain in words how you got your answer.,,3. You make 4 moves clockwise from 8.,1,54
4474,77,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your ans wer.,,"5, because 1 space clockwise from 4 is 5",1,53
4475,77,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, because 4 spaces clockwise from 8 is 3",1,54
4532,78,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, moved one space ",1,53
4533,78,What is 8 <img src=./images/nonagon_symbol.png style =width :14px;height:14px> 4? Please explain in words how you got your answer.,,"3 , moved 4 places right of 8",1,54
4590,79,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5. Add the two together. It is eight or less so no adjustment is needed,",1,53
4591,79,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3. I added eight and four . The su m is 12. I subtract 9, leaving my answer of 3.",1,54
4648,80,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5 - 4+1 is less than 9,1,53
4649,80,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3 - added 8+4 then subtracted 9,1,54
4706,81,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5. I added 4 and 1 together and the answer is 5, since 5 is lower than 9 we don't have to subtract 9 from the result.",1,53
4707,81,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3. I added 8 and 4 together which gave me 12. Since 12 is larger than 9, I subtracted 9 from 12 and got 3 as the result.",1,54
4764,82,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, by going clockwise one spot from 4",1,53
4765,82,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, by  going cl ockwise 4 spots from 8",1,54
4822,83,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"Four plus nine plus one equals five. Four plus one is five, and the result is less than nine. ",1,53
4823,83,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,Eight plus nine plus four equals three. Eight plus four equals twelve so we subtract nine and we're left with three.,1,54
4880,84,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5. 4+1 is under 9 so that is the answer,1,53
4881,84,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,4    8+4=13 which is greater than 9 so you do 14-9 to get 4,0,54
4938,85,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
4939,85,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, 12-9",1,54
4996,86,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,Four plus one equals five which is less than nine so the answer is 5,1,53
4997,86,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain  in word s how you got your answer.,,Eight plus four equals twelve which is greater than nine so I subtract nine and the answer is 3,1,54
5054,87,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. I added 1 to 4,1,53
5055,87,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3; I moved 4 away from the 8,1,54
5112,88,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5--4 is only moving one notch, and won't cross the zero point, so I just added one.",1,53
5113,88,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3--I used 8+4-9,1,54
5170,89,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
5171,89,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
