row.names,subject,correct_response,response,math_high,trial_index
7011,120,,High School Algebra,0,78
7069,121,,Pre-Algebra.,0,78
7127,122,,Algebra II in high school and remedial math in college,1,78
7185,123,,Algebra 1,0,78
7243,124,,no,0,78
7301,125,,Calculus,1,78
7359,126,,College Algebra,0,78
7417,127,,"Calculus 3, differential equations",1,78
7475,128,,calculus for business,1,78
7543,129,,prealgebra,0,98
7601,130,,statistics,1,78
7659,131,,Calculus I,1,78
7717,132,,Trigonometry.,1,78
7775,133,,Calculus I,0,78
7833,134,,The most advanced class was a basic college level math course.,0,78
7891,135,,"I took a curriculum that was a combination of trig, algebra, etc. rather than any specific subject. ",1,78
7949,136,,Pre-calculus,1,78
8007,137,,Spirit of Mathematics,0,78
8065,138,,Mathematical Methods in Physics,1,78
8123,139,,College Algebra or Statistics,1,78
8181,140,,"high school Trig, college algebra. ",1,78
8239,141,,I think just a basic high school math class which is obvious based on my responses here.,0,78
8297,142,,Algebra,0,78
8355,143,,College Algebra,0,78
8413,144,,high school algebra.,0,78
8471,145,,Algebra 3/4 in high school.  College Math (for non-science majors),1,78
8529,146,,math 092 and I couldn't even complete it because I could not understand algebra what so ever.,0,78
8587,147,,College Algebra,0,78
8645,148,,College level Calculus or Statistics,1,78
8703,149,,algebra 2,1,78
8761,150,,"Wow it's been a while I would say geometry in high school, maybe algebra, I honestly do not remember, but I remember taking those classes though.",0,78
8829,151,,"MATH0002, currently in the middle of MATH1021",0,98
