"subject","correct_response","response","trial_index"
"3027","52",""," Algebra 1 and 2 and Geometry",78
"3085","53","","College Algebra. I'll be really honest, I had to take it 3 times because I hated going to class.",78
"3143","54","","calculus",78
"3201","55","","My most advanced classical math is Algebra 3 / Trig in high school. I took 2 classes of statistics in undergrad as well as accounting and finance classes in both college and grad school.",78
"3259","56","","Trigonometry, Statistics. ",78
"3317","57","","Ordinary differential equations",78
"3375","58","","Calculus ",78
"3433","59","","Algebra 2",78
"3501","60","","I've only taken math 101 in college.",98
"3559","61","","Statistics",78
"3617","62","","bc calc",78
"3675","63","","AP Statis tics ",78
"3733","64","","algebra",78
"3791","65","","Algebra",78
"3849","66","","College Algebra",78
"3907","67","","high school precalc/trig; college statistics",78
"3975","68","","high school math",98
"4033","69","","High school calculus",78
"4091","70","","Pre-calculus alegebra",78
"4149","71","","Algebra II",78
"4207","72","","Calculus at college level but I barley passed and had to take it 2",78
"4265","73","","algebra",78
"4323","74","","Calculus",78
"4381","75","","High school calculus, dropped out after 1 semester",78
"4439","76","","Statistic",78
"4497","77","","High School Geometry",78
"4555","78","","calc 3",78
"4613","79","","I was in a test class for a project called Elements of Math that covered everything from number theory to codes and ciphers, geometry,  calc, lo gic, etc. This started in 7th grade and we would cover subjects in weeks not months or years. It was very advanced. But, it was a long time ago.",78
"4671","80","","Basic math course in college for non-math/science majors",78
"4729","81","","Calculus, statistics, boolean algebra.",78
"4787","82","","Calculus",78
"4845","83","","If memory serves I never did anything beyond basic high school math.",78
"4903","84","","I took a low level calculus class in college.  It may have been pre-Calculus  but I am  not sure",78
"4961","85","","Algebra?",78
"5019","86","","Calculus",78
"5077","87","","Calculus",78
"5135","88","","College Algebra",78
"5193","89","","Precalculus ",78
"5251","90","","Math 112.The last algebra class you take before having to move on to calculus or something else more advanced.",78
"5309","91","","algebra",78
"5377","92","","Geometry",98
"5435","93","","college algebra",78
"5493","94","","Algebra I - high school many, many years ago",78
"5551","95","","Statistics for Business",78
"5609","96","","Trigonometry, Algebra 2, Pre-Calculus",78
"5667","97","","Algebra",78
"5725","98","","Algebra",78
"5783","99","","calculus",78
"5841","100","","College Algebra, one class, about 20 years ago",78
"5899","101","","Algebra ",78
"5957","102","","College Calculus (literally decades ago)",78
"6015","103",""," In high  school: Probabilities & Statistics, Pre-Calculus",78
"6073","104","","Algebra 2",78
"6131","105","","algebra 1",78
"6189","106","","Calculus II",78
"6247","107","","Algebra",78
"6305","108","","algebra ",78
"6363","109","","Calculus",78
"6421","110","","sociological statistics",78
"6479","111","","Algebra I ",78
"6537","112","","Pre-Calculus ",78
"6595","113","","I believe the highest was algebra. I'm not sure what level. Low would be my guess. ",78
"6653","114","","Geometry ",78
"6711","115","","Alegbra 2",78
"6769","116","","College Algebra",78
"6827","117","","calculus - differential equations",78
"6885","118","","Pre-trig.",78
"6953","119","","Statistics in College",98
"7011","120","","High School Algebra",78
"7069","121","","Pre-Algebra.",78
"7127","122","","Algebra II in high school and remedial math in college",78
"7185","123","","Algebra 1",78
"7243","124","","no",78
"7301","125","","Calculus",78
"7359","126","","College Algebra",78
"7417","127","","Calculus 3, differential equations",78
"7475","128","","calculus for business",78
"7543","129","","prealgebra",98
"7601","130","","statistics",78
"7659","131","","Calculus I",78
"7717","132","","Trigonometry.",78
"7775","133","","Calculus I",78
"7833","134","","The most advanced class was a basic college level math course.",78
"7891","135","","I took a curriculum that was a combination of trig, algebra, etc. rather than any specific subject. ",78
"7949","136","","Pre-calculus",78
"8007","137","","Spirit of Mathematics",78
"8065","138","","Mathematical Methods in Physics",78
"8123","139","","College Algebra or Statistics",78
"8181","140","","high school Trig, college algebra. ",78
"8239","141","","I think just a basic high school math class which is obvious based on my responses here.",78
"8297","142","","Algebra",78
"8355","143","","College Algebra",78
"8413","144","","high school algebra.",78
"8471","145","","Algebra 3/4 in high school.  College Math (for non-science majors)",78
"8529","146","","math 092 and I couldn't even complete it because I could not understand algebra what so ever.",78
"8587","147","","College Algebra",78
"8645","148","","College level Calculus or Statistics",78
"8703","149","","algebra 2",78
"8761","150","","Wow it's been a while I would say geometry in high school, maybe algebra, I honestly do not remember, but I remember taking those classes though.",78
"8829","151","","MATH0002, currently in the middle of MATH1021",98
