"subject","question","correct_response","response","trial_index"
"325","6","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know. I am  very con fused about generators.",62
"326","6","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know. I am very confused about generators.",63
"381","7","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes - if you use the diagram and start at any number and increase it by two each time, you will find that, eventually, you will touch every number.",60
"382","7","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No - use the same method, and start at any number on the wheel, and jump by three places - you will find that you only hit one-third of the numbers, no matter how many times you try it.",61
"383","7","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I think so - you can prove it using the same method I just used to prove the last two proofs. Eventually, you will hit every number, although it will take some times (about three to nine trips around, maybe).",62
"384","7","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because if you use the same method I have used to prove the previous proof, you will find that, no matter what number you start from and no matter how  many  rotations you make, you will only hit one-third of the numbers on the diagram.",63
"439","8","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes because it can be created using two numbers from 1-8",60
"440","8","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No it is not a generator because 3 can't be made with the formula for + 9",61
"441","8","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes it is because 5 can be made using 5 +9 4 where that becomes 0",62
"442","8","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","NO because it can't be made with the  formula  since it is ttoo large.",63
"497","9","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. It wouldn't work out.",60
"498","9","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. It would work out.",61
"499","9","Is  5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. It wouldn't work out.",62
"500","9","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, it would work out.",63
"555","10","Is 2 a generator under <img src =./ima ges/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. This circle is not divisible by 2, so if you use 2 enough times it can get to any number.",60
"556","10","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because the circle is evenl y divisi ble by three.",61
"557","10","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because 9 is not evenly divisible by 5.",62
"558","10","Is 6 a generator under <img src =./ima ges/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because 6 is a multiple of 3 and so is 9.",63
"613","11","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. I guessed.",60
"614","11","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer. ","","I don't know",61
"615","11","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know. The generator part was a little hard to fully understand.",62
"616","11","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know.",63
"671","12","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no i forget why",60
"672","12","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes i forget why",61
"673","12","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes i forget why",62
"674","12","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes i forget why",63
"729","13","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because there is no way to make 2. 2 +9 2 +9 2 +9 2 +9 2 = 1, 2 +9 2 +9 2 +9 2 +9 2 +9 2 = 3",60
"730","13","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","The same as the previous answer, there is no way to make 2. ",61
"731","13","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Unless I am misunderstanding generators, I can't see how practically any number would be a generator under 9.",62
"732","13","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because you cannot make 0,1,2",63
"787","14","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","not sure",60
"788","14","Is 3 a generator under +<sub>9</sub>? Please  explain  in words how you got your answer.","","not sure",61
"789","14","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","not sure",62
"790","14","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","not sure",63
"845","15","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. You can't use two to get to zero in the nonagon.",60
"846","15","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, you can use 3 twice to get to zero.",61
"847","15","Is 5 a generator under <img src=./im ages/non agon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can't use give to get to zero.",62
"848","15","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, you can circle around multiple times to get to zero.",63
"903","16","Is 2 a generator under <img src=./images/nonagon_symbol.png styl e=widt h:14px;height:14px>? Please explain in words how you got your answer.","","No, it cannot get all the numbers by itself",60
"904","16","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, you can get all the numbers 1-9",61
"905","16","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, you cannot get all the numbers by just 5",62
"906","16","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I cannot get all the numbers with just 6",63
"961","17","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, any number on the wheel can be reached by moving 2 at a time on the wheel",60
"962","17","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, the only numbers that can be generated are 0 3 and 6",61
"963","17","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, all numbers can be generated by moving in  increme nts of 5",62
"964","17","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, the only numbers generated by 6 are 0 3 and 6",63
"1019","18","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes you can make the numbers 0-9 with a 2",60
"1020","18","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your  answer.","","no way to get to some numbers ",61
"1021","18","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no I cant get to all of the numbers with 5 and -9",62
"1022","18","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","6 no i still can't get to all the numbers wit h 6 and  -9 ",63
"1087","19","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words  how you  got your answer.","","i am not entirely sure what a generator is.",80
"1088","19","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","im not sure what a generator is. ",81
"1089","19","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","not sure",82
"1090","19","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","not sure",83
"1145","20","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","2 is not a generator under 9 because if you if you add 2+2 it gives you 4 ",60
"1146","20","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 3 = 1+1+1, 1 is the generator number ",61
"1147","20","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, 5 is a generator number because 5= 1+1+1+1+1 ",62
"1148","20","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because 6=1+1+1+1+1+1 ",63
"1203","21","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","N o. I am  not sure. I couldn't wrap my head around that concept.",60
"1204","21","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. But again, I'm not really sure. Didn't understand that.",61
"1205","21","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width :14px;he ight:14px>? Please explain in words how you got your answer.","","No. I don't know how the generator concept works.",62
"1206","21","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No idea.",63
"1261","22","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because it doesn't cause it to go over",60
"1262","22","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I dont know. I think it is.",61
"1263","22","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes because its greater than half",62
"1264","22","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got you r answer .","","yes because its greater than half",63
"1319","23","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I'm going to guess yes, since depending on where you start, odd or even, you could get 2 more that would hit every digit on the picture.",60
"1320","23","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:1 4px;heig ht:14px>? Please explain in words how you got your answer.","","I'm going to say no. I'm really unsure why but I feel like an odd number wouldn't work for that.",61
"1321","23","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Again, going  to say  no. I am now thinking back to 3 and thinking maybe yes since 9 is divisible by 3 and 5 isn't?",62
"1322","23","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, and again I really don't know.",63
"1377","24","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 7+2=9",60
"1378","24","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 6+3=9",61
"1379","24","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 4 +5=9",62
"1380","24","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 6+3=9",63
"1435","25","Is  2 a gene rator under +<sub>9</sub>? Please explain in words how you got your answer.","","I'm not sure how generators work",60
"1436","25","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I would say yes because it is a multiple of 9",61
"1437","25","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","possibly,  but I'm  not sure how generators work",62
"1438","25","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I think so but I'm not sure",63
"1493","26","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, all values 1-8 can be made",60
"1494","26","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, only 3,6,0 ",61
"1495","26","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes, values 1-8 can be made",62
"1496","26","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, only 6,3,0",63
"1551","27","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I  didn't understand this the first time, I don't really know. ",60
"1552","27","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know, I didn't understand this in the first example.",61
"1553","27","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't understand how to figure this.",62
"1554","27","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't understand how to figure this.",63
"1609","28","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","9-2 = 7",60
"1610","28","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","9 - 3 = 6",61
"1611","28","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","9- 5 = 4",62
"1612","28","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","9- 6 = 3",63
"1677","29","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because is not under 9",80
"1678","29","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because is not under 9",81
"1679","29","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because is not under 9",82
"1680","29","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because is not under 9",83
"1735","30","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I think it is not because you couldnt not get the odd number selected with just a 2",60
"1736","30","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you could only hit 3,6, and 0 with a 3.",61
"1737","30","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Im not entirely sure but somehow it was on the 6 so Im saying yes.",62
"1738","30","Is 6 a generator under <img src=./images/nonagon_symbol.pn g styl e=width:14px;height:14px>? Please explain in words how you got your answer.","","I dont think so because you couldnt get to the 1 or the 7 with a six.",63
"1793","31","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because every number on the nonagon can be reached by adding together a string of 2s, even if you have to go around the nonagon more than once.",60
"1794","31","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:1 4px;heig ht:14px>? Please explain in words how you got your answer.","","No, because there is no way to go from the 0/3/6 set of numbers to the 1/4/7 set using just a string of 3s.",61
"1795","31","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, eventually a long enough string of 5s reaches every number on the nonagon.",62
"1796","31","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because no matter how long a string of 6s you add, they will only result in 0, 3, or 6.",63
"1851","32","Is 2  a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. Moving by 2, you will eventually make all digits.",60
"1852","32","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. You will only hit multiples of 3.",61
"1853","32","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. You will eventually make all digits.",62
"1854","32","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. You will only make 3, 6, and 0.",63
"1909","33","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Seven, because two plus seven equals nine, then mine nine to equal zero.",60
"1910","33","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because you can't get other numbers from three.",61
"1911","33","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No because you can't get six, seven or eight from 5",62
"1912","33","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, because you can't get seven or eight from six.",63
"1967","34","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, they do not add up to all numbers.",60
"1968","34","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, they do not add up to all numbers.",61
"1969","34","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how  you got  your answer.","","Yes, they all add up to all the numbers on the nonagram.",62
"1970","34","Is 6 a generator under <img src=./image s/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because they only involve the numbers 0, 3, and 6.",63
"2025","35","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't know this part confused me",60
"2026","35","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't know this part confused me",61
"2027","35","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't know this part confused me",62
"2028","35","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't know this part confused me",63
"2083","36","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because I don't think 2 can make 3 or 5 still.",60
"2084","36","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, 3 is still a multiple of the function and wouldn't create 5 or something like that",61
"2085","36","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, 5 will be able to combine moves to make all the other numbers eventually",62
"2086","36","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, six will only make 6, 3, and 0",63
"2141","37","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, even numbers are generators under odd points",60
"2142","37","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, divisible by 9",61
"2143","37","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, not divisible by 9",62
"2144","37","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, share 3 as common denominator which means they repeat a pattern instead of progress through all numbers",63
"2199","38","Is 2 a generator under <img s rc=./i mages/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you can't use it with 3,5, etc.",60
"2200","38","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how y ou got y our answer.","","Yes, I am not sure. I think because you can use it with every number to get to 0",61
"2201","38","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I don't know.",62
"2202","38","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I am not sure.",63
"2257","39","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I have no idea",60
"2258","39","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Idk",61
"2259","39","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I dont know",62
"2260","39","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so",63
"2315","40","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because it doesn't generate. ",60
"2316","40","Is 3 a generator under <img src=./imag es/nonag on_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because it does generate. ",61
"2317","40","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because it doesn't generate.",62
"2318","40","Is 6 a  generato r under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because it doesn't generate.",63
"2373","41","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. I moved clockwise incrementally by 2 an d noted  that 2 becomes 4 becomes 6 becomes 8 becomes 1 becomes 3 becomes 5 becomes 7 becomes 0.",60
"2374","41","Is 3 a generator under <img s rc=./i mages/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I only got 3, 6, and 0 when moving clockwise by 3.",61
"2375","41","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. I mo ved cloc kwise in 5s and got 5, 1, 6, 2, 7, 3, 8, 4, and 0",62
"2376","41","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. Same reasons for why 3 is not a generator.",63
"2431","42","Is 2 a generator under <img src=./images/nonagon_symbol.png style= width: 14px;height:14px>? Please explain in words how you got your answer.","","Yes. Because it equals up to 0 on the hexagon.",60
"2432","42","Is 3 a  generato r under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. Because it equals up to 0 on the hexagon.",61
"2433","42","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because it equals up to 0 on the hexagon.",62
"2434","42","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because it is equalled on the hexagon.",63
"2489","43","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes adding two in sequence will land on all of the dots corresponding to all of the numbers",60
"2490","43","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no.  Adding 3 in sequence will only land on 3,6, and 0",61
"2491","43","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes Adding 5 in sequence will land on every dot",62
"2492","43","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No adding 6 will only get 3,6 and 0 as a result",63
"2547","44","Is 2 a g enerator  under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because 2 can be used to reach every number",60
"2548","44","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because 3 can only be used to reach 3,6,0",61
"2549","44","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because 5 can be used to reach every number.",62
"2550","44","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because 6 can only reach 6,3,0",63
"2605","45","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can't make every other number an element.",60
"2606","45","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, yo u can't  make every other number.",61
"2607","45","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can't make every other number.",62
"2608","45","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can't make every other number.",63
"2663","46","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I do not know.",60
