row.names,subject,question,correct_response,response,score,trial_index
266,5,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,5 is a generator because it can factor all the elements in some way.,1,62
267,5,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I think 6 is not a  generator because it cannot be factored ti make all the elements ,1,63
321,6,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, 2 is never a generator",0,58
322,6,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,yes because it's a fraction of 9,0,59
323,6,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,no it's an odd number,0,60
324,6,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,yes because 3 is it's half,0,61
380,7,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes.  You can make every number with the number 2.  2:1= 3, 2:2=4, 2:3=5 and so on.",1,60
381,7,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, because there is no way to make all number just using the number 3.  3:3=6, 3:3:3:0, 3:3:3:3:3",1,61
382,7,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">?  Please  explain in words how you got your answer.",,"Yes because if generated enough times the numbers will all match.  5:5=1, 5:5:5=6 and so on",1,62
383,7,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, because the sides of the function are a multiple of three, there is no way the generator would hit any number that wasn't a multiple.",1,63
439,8,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" styl e=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, this is a guess, I really don't know",0,60
440,8,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"yes, this is a guess, I really don't know",0,61
441,8,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, this is a guess, I really don't know",0,62
442,8,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"yes, this is a guess,  I really  don't know",0,63
498,9,"Is 2 a generator un der <img  src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"I honestly cannot say with definitive certainty. However, given that the rules for identity and inverse remain the same with the 9 symbol as with the 6 symbol, my best guess is no, 2 is not a generator. I am guessing that, in this case, 1 and 8 would be the generator in line with the previous rule dictating that 1 and 5 were generators. ",0,60
499,9,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Again, I did not entirely understand the generator function, but in line with the previous rules, and given that the inverse and identity function of those rules seem applicable to this case as well, I am guessing that no, three is not a generator, as the numbers on the bottom portion of the previous function were not generators. ",1,61
500,9,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"I am guessing, again, no -- 5 is not a generator, for precisely the same reason as stated previously: it does not seem to align with the rules for the former function, which appear to be applicable here as well, given the analogous function of inverse and identity. ",0,62
501,9,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,,1,63
557,10,Is 2 a gen erator u nder +<sub>9</sub>? Please explain in words how you got your answer.,,"I dont know, still confused",0,60
558,10,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,I am not sure ._.,0,61
559,10,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,I dont know D:,0,62
560,10,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,I think so...,0,63
616,11,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because you can't use it with every number to get to 9,0,60
617,11,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, because you can't use it with any number to get to 9",1,61
618,11,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes because you can use it with any number to get to 9,1,62
619,11,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, because you are unable to use it with any number to reach the number 9",1,63
673,12,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, because you cannot (get values??) for 1,3 and 5.",0,58
674,12,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because you cannot return the numbers for 2 and 4.,1,59
675,12,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Yes, because 5 can be multiplied (if this was in a class I would have to ask a question about how 1,2,3, and 4 were explained)",1,60
676,12,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, and I submitted my last answer right when I realized I was wrong, so I'd like to correct that here. Under +9 5 is NOT a generator because of the number 7, I think? 6 would not be a generator under that conclusion as well, but again if I was in a class, I would need this explained again.",1,61
730,13,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,2. 2(9)2 = 4. 2(9)2 (9)2 = 6. 2(9)2 (9)2 (9)2 = 8. 2(9)2 (9)2 (9)2 (9) 2 = 0. . .,0,58
731,13,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"(Sorry, enter submitted on the last answer rather than giving me a new line, so I only offered my example without explaining it!) No, 3 can generate 3, 6 and 0, but none of the other numbers.",1,59
732,13,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, running 5 through its paces, it appears that it can generate all the other numbers.",1,60
733,13,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" styl e=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, it appears 6 can only generate 0, 3 and 6.",1,61
799,14,Is 2 a generator under +<sub>9</sub>? Please explain in words how you  got your  answer.,,No because there is not a way to make certain numbers with 2 as a generator under +9.,0,80
800,14,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes because we can make every other number using it.,0,81
801,14,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because there is no way to make every other number.,0,82
802,14,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because there is no way to make every number.,1,83
856,15,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"no, because adding to 2 will not give you number. ",0,58
857,15,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,yes; because 3+6=9,0,59
858,15,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no; because 5+1 does not equal 9,0,60
859,15,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, because 6+3=9",0,61
915,16,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,, No because adding 2 together repeatedly does not give a way to make all other numbers under +9,0,60
916,16,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, while you can make 6, 0, 4, you can't make the other numbers by using +9",1,61
917,16,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, while you can make 1 and 6 using +9, you can't make the other numbers.",0,62
918,16,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, while you can make 3 and 9, you can't make any of the other numbers.",1,63
974,17,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes. If 2 is added to each numbered point starting at 0, all the other  numbers  can be generated. ",1,60
975,17,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No. Adding 3 to each numbered point starting at 0 does not generate all the other numbers.,1,61
976,17,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, starting at point 0, moving 5 points clockwise will generate all the other numbers.",1,62
977,17,"Is 6  a gener ator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, adding 6 to the points starting at 0 will repeat the same numbers instead of generating all of them.",1,63
1031,18,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"yes, because it could be used with all other numbers to make the identity. ",1,58
1032,18,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, because it can't be used with all other numbers to get to the identity.",1,59
1033,18,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, because it can be used with all other numbers to get to the identity.",1,60
1034,18,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, it can't  be used  with all of the other numbers to get to the identity. ",1,61
1090,19,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, using it as itself you can achieve all other number sets",1,60
1091,19,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, it only recurs by itself not achieving all numbers",1,61
1092,19,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, when shifted by itself all other number  sets occ ur",1,62
1093,19,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, it only recurs by itself not achieving all numbers",1,63
1147,20,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, if you add two plus zero it is two, if you add two plus one it is three, if you add two plus two it is four, if you add two plus three it is five, if you add two plus four it is six, if you add two plus five, you get seven,if you add two plus six it is eight, if you add two plus seven it is nine,if you add two plus eight it is ten, you must remove nine from and get one. You can get all other numbers. ",1,58
1148,20,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer. ,,"3,4,5,6,7,8,9(0),10(3),11(8)",0,59
1149,20,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, you cannot get four from it. I add 0-8 to five for each and subtract nine from any sums of nine or over, four is not possible. ",0,60
1150,20,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer., ,"No, you cannot get five by adding 0-8 to it after subtracting nine from any sums of nine or above. ",1,61
1204,21,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I don't know.,0,58
1205,21,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I don't know.,0,59
1206,21,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I don't know.,0,60
1207,21,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I don't know.,0,61
1263,22,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Using only 2, you can make 2,4,6, and 8, and then 10-9=1, 12-9=3, 14-9=5, 16-9=7, and 18-9=9, so yes, 2 is a generator under +9",1,60
1264,22,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"using only 3, you can make 3, 6, and 9 (which then returns 0), but 12-9=3, so you can only get multiples of 3 under +9. No, 3 is not  a gener ator. (Also, I just realized I was wrong on the last one... 2 is NOT a generator, because there's no way to get 0 using just 2)",1,61
1265,22,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"using only 5, you can get 1 (5+5-9=1)and 6(5+5+5-9=6), but no other single-digit results. No, 5 is not a generator",0,62
1266,22,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"using only 6, you can get 0 (6 +9 6 +9 6 = 0), 3 (6 +9 6 = 3) and 6 (6 +9 6 +9 6 +9 6 = 6), but no other single digit results, because at that point it starts repeating. 6 is not a generator.",1,63
1322,23, Is 2 a g enerator under +<sub>9</sub>? Please explain in words how you got your answer.,,"no, because you can't get all numbers with 2",0,60
1323,23,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, because you can get all number with 3",0,61
1324,23,Is 5 a generator under +<sub>9</sub>? Please explain in word s how yo u got your answer.,,"yes, because you can get all numbers",1,62
1325,23,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, you can get all numbers",0,63
1381,24,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes you can generate all numbers with 2,1,60
1382,24,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes you can generate all numbers with 3,0,61
1383,24,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes you can generate all numbers with 5,1,62
1384,24,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes you can generate all numbers with 6,0,63
1440,25,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Yes, if you keep combining two, you get all of the other numbers.",1,60
1441,25,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, three is not a generator because you can not get all of the other numbers by combining it with itself.",1,61
1442,25,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, fiv e is not a generator because you can not get all of the numbers by combing it with itself.",0,62
1443,25,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, six is not a generator because it cannot be combined with itself under this rule to get the rest of the numbers.",1,63
1509,26,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, because you can add 7 to it get 9",1,80
1510,26,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, because you can add 6 to it and get 9",0,81
1511,26,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, because you can add 4 to it and get 9",1,82
1512,26,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, because you can add 3 to it and get 9",0,83
1566,27,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,yes because you can get all the numbers,1,58
1567,27,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,yes because you can get all the numbers,0,59
1568,27,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no because you cant get all the nmbers,0,60
1569,27,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,yes because you can get all the numbers,0,61
1625,28,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No because you can't get 1 or 0 from it.,0,60
1626,28,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,Yes because you can land on all numbers using 3???,0,61
1627,28,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No you can not land on all the numbers from 5???,0,62
1628,28,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please  explain  in words how you got your answer.",,No because you can't land on all the numbers ,1,63
1684,29,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no because you cannot get the number 7 by adding the number together,0,60
1685,29,Is 3 a  generat or under +<sub>9</sub>? Please explain in words how you got your answer.,,no because you cannot get the numbers 1 through 9 by adding the 3's,1,61
1686,29,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got y our answ er.,,no. because you cannot get the number 1 through 9 by adding 5's and subtracting 9's for anything higher than 9,0,62
1687,29,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no/ because you cannot get the number 1 through 9 by adding 6's and subtracting 9's for anything over 9,1,63
1741,30,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"yes, it can generate all numbers using only 2",1,58
1742,30,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, it can't generate 4,5,7,8,1,2 using only 3",1,59
1743,30,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"yes, it can generate all numbers using only 5",1,60
1744,30,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, it can't generate 1,2,4,5,7,8 using only 6",1,61
1800,31,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because 2 is not a multiplier of 9.,0,60
1801,31,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes because 3 is a multiplier of 9.,0,61
1802,31,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no because 5 is not a multiplier of 9.,0,62
1803,31,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no because 6 is not a multiplie r of 9.,1,63
1857,32,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Yes: starting with 2 +9 2 = 4 and repeating the operation +9 2 with each result produces the sequence 4, 6, 8, 1, 3, 5, 7, 0, 2.",1,58
1858,32,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, 3 can only generate 6, 0, 3.",1,59
1859,32,Is 5 a generator under +<sub>9</sub>? Pleas e explai n in words how you got your answer.,,"Yes, iterating +9 5 starting with 5 +9 5 produces the sequence 1, 6, 2, 7, 3, 8, 4, 0 5.",1,60
1860,32,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, 6 can only produce 3, 0, 6.",1,61
1914,33,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, checked all cases, 2 = 2, 2+2=4, 2+2+2=6, 2+2+2+2=8, 2+2+2+2+2=1, etc. 3, 5, 7, 0",1,58
1915,33,Is 3 a generator un der +<su b>9</sub>? Please explain in words how you got your answer.,,"No, 3, 6, 0, 3 ... keeps cycling no 1,4,5,7,8",1,59
1916,33,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"yes, checked all cases, 5, 1, 6, 2, 7, 3, 8 , 4",1,60
1917,33,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"no, 6, 3, 0, 6, 3, 0 keeps cycling leaves out 1,2,4,5,7,8",1,61
1973,34,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,not sure,0,60
1974,34,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,don't know,0,61
1975,34,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,not sure,0,62
1976,34,Is 6 a generator under +<sub>9</sub>? Please explain in words how yo u got yo ur answer.,,not sure,0,63
2030,35,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Yes, I'm not sure. I don't understand this one",1,58
2031,35,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes. Not sure how,0,59
2032,35,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes. I don't know,1,60
2033,35,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No. I don't know,1,61
2087,36,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"2 is a generator under +9 because it is possible to create every other number. 2+7=0, 2+8=1, 2+9=2, 2+10=3, etc. ",1,58
2088,36,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,3 is a generator under +9 because it is possible to get all other numbers using the +9 operation.,0,59
2089,36,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"It is possible to get all the other numbers using the +9 operation, so 5 is a generator under +9.",1,60
2090,36,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"It is possible to get all other numbers using the +9 operation, so 6 is a generator under +9",0,61
2146,37,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, 2 can be combined with other numbers to come up with every number on the dial.",1,60
2147,37,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, it can be used with each number on the dial and come up with an answer that includes every number.",0,61
2148,37,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I really don't know. I'm confused and can't remember how the generator works. I keep getting the same results regardless of every way I try it. I am clearly doing something wrong.,0,62
2149,37,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I guess so. It seems to be able to  produce  each number as an answer. I'm not really sure I understand this concept at all.,0,63
2203,38,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, 2 can get anywhere",1,58
2204,38,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No, 3 will not get to any number",1,59
2205,38,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please expla in in wo rds how you got your answer.",,"No, 5 will not get to any number",0,60
2206,38,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,I don't know,0,61
2270,39,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes because it has an inverse.,1,78
2271,39,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because it has no inverse.,1,79
2272,39,Is 5 a generator under +<sub>9</sub>? P lease ex plain in words how you got your answer.,,Yes because there is an inverse.,1,80
2273,39,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,Yes because there is an inverse.,0,81
2329,40,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No because for some numbers like 6 and 8 you wouldn't be able to reach 2 with just using 2s in the equation.,0,60
2330,40,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No because you can't reach number 3 just by using 3 alone for some numbers.,1,61
2331,40,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No because for some numbers you can't reach them only using 5.,0,62
2332,40,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,No because for some numbers you can't reach them only using 6s.,1,63
2386,41,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,no because you can't make all of the odd numbers using only 2,0,58
2387,41,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"no, you can't make all of the numbers using only 3",1,59
2388,41,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,You can make all of the numbers using only 5 ,1,60
2389,41,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,there is no way to make all of the numbers usin g only 6 ,1,61
2443,42,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,No because we can't make the odd numbers using 2,0,58
2444,42,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, because we can't make 4, 5, 7 or 8 using just 3",1,59
2445,42,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Yes, because we can make all the numbers using 5",1,60
2446,42,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, because we cant make all of the numbers using 6",1,61
